ts_code,symbol,name,market,area,industry,ths_industry,ths_concepts,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,list_date,cr_end_date,current_ratio,fcf_end_date,fcf
920112.BJ,920112,巴兰仕,北交所,上海,专用机械,工业(A股),融资融券|新股与次新股|阿里巴巴概念|人民币贬值受益|比亚迪概念,16.831,2.6608,246234.7,67277.066,1.2273,1.2273,20250828,,,,
688783.SH,688783,西安奕材-U,科创板,陕西,半导体,信息技术(A股),融资融券|新股与次新股|芯片概念|国家大基金持股|注册制次新股|科创次新股|MCU芯片|存储芯片|西部大开发,,10.3349,12678692.0,581457.507,13.6834,13.6834,20251028,,,,
920020.BJ,920020,泰凯英,北交所,山东,汽车配件,非日常生活消费品(A股),融资融券|新股与次新股|无人驾驶|人民币贬值受益|专精特新,19.1387,2.7843,332918.6,82289.3335,1.8887,2.3824,20251028,,,,
688727.SH,688727,恒坤新材,科创板,福建,半导体,信息技术(A股),融资融券|创投|新股与次新股|福建自贸区|芯片概念|光刻胶|注册制次新股|科创次新股|海峡两岸|存储芯片,263.8239,10.2019,2579993.1432,310230.1828,19.8023,19.8023,20251118,,,,
920160.BJ,920160,北矿检测,北交所,北京,电器仪表,工业(A股),融资融券|高端装备|央企国企改革|新股与次新股|专精特新|国企改革,31.6269,4.5971,244231.68,54952.128,2.7299,2.7299,20251118,,,,
920121.BJ,920121,江天科技,北交所,江苏,广告包装,工业(A股),融资融券|新股与次新股,20.6668,2.9093,226349.595,40742.9307,1.6003,1.6003,20251225,,,,
920045.BJ,920045,蘅东光,北交所,深圳,通信设备,信息技术(A股),融资融券|粤港澳大湾区|新股与次新股|无人驾驶|人民币贬值受益|数据中心|共封装光学(CPO)|光纤概念|2025年报预增,130.7305,34.4442,3983546.989,1177863.3482,6.9975,9.6787,20251231,,,,
920158.BJ,920158,长江能科,北交所,江苏,专用机械,能源(A股),融资融券|海工装备|天然气|一带一路|新股与次新股|氢能源|专精特新|中俄贸易概念,36.9287,3.9403,201009.284,53768.9261,5.0303,5.0303,20251016,,,,
920124.BJ,920124,南特科技,北交所,广东,机械基件,工业(A股),融资融券|新能源汽车|粤港澳大湾区|新股与次新股|人形机器人,23.113,2.1236,229346.7717,118011.4327,2.1781,2.4125,20251127,,,,
688809.SH,688809,强一股份,科创板,江苏,半导体,信息技术(A股),融资融券|新股与次新股|芯片概念|华为概念|长三角一体化|注册制次新股|科创次新股|存储芯片|2025年报预增|2026一季报预增,162.718,15.3731,6426141.28,1207909.2464,9.996,9.996,20251230,,,,
301656.SZ,301656,联合动力,创业板,江苏,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|新股与次新股|深股通|小米概念|注册制次新股|减速器|小米汽车,41.1634,4.8361,4665294.3654,395040.293,4.6592,4.6592,20250925,,,,
603092.SH,603092,德力佳,主板,江苏,机械基件,工业(A股),融资融券|新疆振兴|海工装备|高端装备|新股与次新股|风电|独角兽概念|注册制次新股|2025年报预增,33.8421,4.8816,2800000.7,242001.578,10.0399,10.0399,20251107,20260331,2.1598,,
688790.SH,688790,昂瑞微-UW,科创板,北京,半导体,信息技术(A股),融资融券|智能穿戴|5G|卫星导航|新股与次新股|芯片概念|小米概念|华为概念|注册制次新股|科创次新股|WiFi6|汽车芯片|6G概念|商业航天|AI眼镜,,5.3949,1466101.7642,177609.4938,10.0259,10.0259,20251216,,,,
688805.SH,688805,健信超导,科创板,浙江,医疗保健,医疗保健(A股),融资融券|医疗器械概念|新股与次新股|风电|注册制次新股|科创次新股|超导概念,137.187,8.2657,1030058.24,193620.3508,13.9292,13.9292,20251224,,,,
688807.SH,688807,优迅股份,科创板,福建,半导体,信息技术(A股),融资融券|5G|新股与次新股|芯片概念|数据中心|注册制次新股|科创次新股|MCU芯片|海峡两岸|汽车芯片|共封装光学(CPO),455.6019,22.3301,4015040.0,754609.5033,14.2086,14.2086,20251219,,,,
301638.SZ,301638,南网数字,创业板,广东,软件服务,信息技术(A股),智能电网|物联网|融资融券|网络安全|粤港澳大湾区|无人机|卫星导航|央企国企改革|新股与次新股|深股通|人工智能|量子科技|芯片概念|区块链|电力物联网|数字孪生|国产操作系统|数据中心|注册制次新股|碳中和|鸿蒙概念|传感器|东数西算(算力)|数字经济|虚拟电厂|国企改革|数据要素|算力租赁|多模态AI|DeepSeek概念|AI应用,137.3742,7.7103,8651828.2758,680886.7276,11.0083,11.0083,20251118,,,,
