ts_code,csname,extname,cname,index_code,index_name,list_date,exchange
159211.SZ,富国深证100ETF,深证100ETF富国,富国深证100交易型开放式指数证券投资基金,399330.SZ,深证100指数,20250414,SZ
159212.SZ,南方深证100ETF,深100ETF南方,南方深证100交易型开放式指数证券投资基金,399330.SZ,深证100指数,20250409,SZ
159213.SZ,汇添富中证机器人ETF,机器人ETF汇添富,汇添富中证机器人交易型开放式指数证券投资基金,H30590.CSI,中证机器人指数,20250430,SZ
159215.SZ,平安中证A500ETF,A500ETF平安,平安中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,20250407,SZ
159216.SZ,大成深证100ETF,深证100ETF大成,大成深证100交易型开放式指数证券投资基金,399330.SZ,深证100指数,20250411,SZ
159217.SZ,港股通创新药ETF工银,港股通创新药ETF工银,工银瑞信国证港股通创新药交易型开放式指数证券投资基金,987018.SZ,国证港股通创新药指数,20250403,SZ
159218.SZ,招商中证卫星产业ETF,卫星ETF招商,招商中证卫星产业交易型开放式指数证券投资基金,931594.CSI,中证卫星产业指数,20250522,SZ
159219.SZ,融通深证100ETF,深证100ETF融通,融通深证100交易型开放式指数证券投资基金,399330.SZ,深证100指数,20250513,SZ
159220.SZ,华宝标普港股通低波红利ETF,港股通红利低波ETF华宝,华宝标普港股通低波红利交易型开放式指数证券投资基金,SPAHLVCP.OTH,标普港股通低波红利指数,20250512,SZ
159221.SZ,嘉实国证自由现金流ETF,现金流ETF嘉实,嘉实国证自由现金流交易型开放式指数证券投资基金,980092.SZ,国证自由现金流指数,20250513,SZ
159222.SZ,易方达国证自由现金流ETF,自由现金流ETF易方达,易方达国证自由现金流交易型开放式指数证券投资基金,980092.SZ,国证自由现金流指数,20250417,SZ
159223.SZ,现金流ETF永赢,现金流ETF永赢,永赢国证自由现金流交易型开放式指数证券投资基金,980092.SZ,国证自由现金流指数,20250703,SZ
159225.SZ,现金流ETF基金,现金流ETF银华,银华国证自由现金流交易型开放式指数证券投资基金,980092.SZ,国证自由现金流指数,20250417,SZ
159226.SZ,国泰中证A500增强策略ETF,中证A500增强ETF国泰,国泰中证A500增强策略交易型开放式指数证券投资基金,000510.SH,中证A500指数,20250529,SZ
159227.SZ,华夏国证航天航空行业ETF,航空航天ETF华夏,华夏国证航天航空行业交易型开放式指数证券投资基金,CN5082.SZ,国证航天航空行业指数,20250516,SZ
159228.SZ,长城中证红利低波100ETF,红利低波ETF长城,长城中证红利低波动100交易型开放式指数证券投资基金,930955.CSI,中证红利低波动100指数,20250618,SZ
159229.SZ,广发中证800自由现金流ETF,自由现金流ETF广发,广发中证800自由现金流交易型开放式指数证券投资基金,932368.CSI,中证800自由现金流指数,20250515,SZ
159230.SZ,华夏国证通用航空产业ETF,通用航空ETF华夏,华夏国证通用航空产业交易型开放式指数证券投资基金,980076.SZ,国证通用航空产业指数,20250530,SZ
159231.SZ,华宝国证通用航空产业ETF,通用航空ETF华宝,华宝国证通用航空产业交易型开放式指数证券投资基金,980076.SZ,国证通用航空产业指数,20250429,SZ
159232.SZ,南方中证全指自由现金流ETF,自由现金流ETF南方,南方中证全指自由现金流交易型开放式指数证券投资基金,932365.CSI,中证全指自由现金流指数,20250430,SZ
